,pair,clean,raw,name_type
0,"[[Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory|Temple]] of the [[Salt Lake City, Salt Lake County, Utah Territory|Great Salt Lake City]]","Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory","Temple]] of the [[Salt Lake City, Salt Lake County, Utah Territo",place
15,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
18,"[[Mississippi River, United States|missippi+River]]","Mississippi River, United States",missippi+River,place
20,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G S L City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G S L City,place
24,"[[Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory|Temple]]","Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory",Temple,place
30,"[[Temple Lot, Independence, Jackson County, Missouri|Temple]] of our God in [[Jackson County, Missouri|Jackson County]]","Temple Lot, Independence, Jackson County, Missouri","Temple]] of our God in [[Jackson County, Missou",place
31,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
47,"[[Aphek Woodruff, b. 1778|Fathers]]","Aphek Woodruff, b. 1778",Fathers,place
48,"[[Asahel Hart Woodruff, b. 1814|Asahel H Woodruff]]","Asahel Hart Woodruff, b. 1814",Asahel H Woodruff,place
61,"[[Los Angeles, Los Angeles County, California|Los Angeles]]","Los Angeles, Los Angeles County, California",Los Angeles,place
66,"[[Los Angeles, Los Angeles County, California|Loss Angel]]","Los Angeles, Los Angeles County, California",Loss Angel,place
68,"[[Carson Valley, Nevada|Carson]]","Carson Valley, Nevada",Carson,place
71,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
87,"[[Hams Fork, Utah Territory|Hams Fork]]","Hams Fork, Utah Territory",Hams Fork,place
92,"[[Fort Bridger, unorganized U.S. Territory|Bridger]]","Fort Bridger, unorganized U.S. Territory",Bridger,place
96,"[[Rocky Mountains, United States|Rocky Mountains]]","Rocky Mountains, United States",Rocky Mountains,place
100,"[[Fort Bridger, unorganized U.S. Territory|Fort Bridger]]","Fort Bridger, unorganized U.S. Territory",Fort Bridger,place
101,"[[Winter Quarters, unorganized U.S. Territory|winter Quarters]]","Winter Quarters, unorganized U.S. Territory",winter Quarters,place
107,"[[Green River, Sweetwater County, Wyoming Territory|Green river]]","Green River, Sweetwater County, Wyoming Territory",Green river,place
134,"[[Fort Bridger, unorganized U.S. Territory|Bridger]]","Fort Bridger, unorganized U.S. Territory",Bridger,place
146,"[[Echo Canyon, Summit County, Utah Territory|Echo Canyon]]","Echo Canyon, Summit County, Utah Territory",Echo Canyon,place
152,"[[Kirtland Temple, Kirtland, Geauga County, Ohio|Temple]]","Kirtland Temple, Kirtland, Geauga County, Ohio",Temple,place
153,"[[Kirtland, Geauga County, Ohio|Kirtland]]","Kirtland, Geauga County, Ohio",Kirtland,place
156,"[[Fort Bridger, unorganized U.S. Territory|Bridger]]","Fort Bridger, unorganized U.S. Territory",Bridger,place
165,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
172,"[[Eldad Woodruff, b. 1747|Eldad Woodruff]]","Eldad Woodruff, b. 1747",Eldad Woodruff,place
173,"[[Beulah Thompson Woodruff, b. 1782|Mother]]","Beulah Thompson Woodruff, b. 1782",Mother,place
174,"[[Aphek Woodruff, b. 1778|Father]]","Aphek Woodruff, b. 1778",Father,place
175,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
179,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
189,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
191,"[[Savannah, Chatham County, Georgia|Savannah]]","Savannah, Chatham County, Georgia",Savannah,place
196,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
210,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowmet House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowmet House,place
211,"[[Fort Donelson, Stewart County, Tennessee|Fort Donalson]]","Fort Donelson, Stewart County, Tennessee",Fort Donalson,place
216,"[[Ozem Thompson Woodruff, b. 1804|Ozem Woodruff]]","Ozem Thompson Woodruff, b. 1804",Ozem Woodruff,place
217,"[[Savannah, Chatham County, Georgia|Savannah's]]","Savannah, Chatham County, Georgia",Savannah's,place
231,"[[Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory|Temple]]","Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory",Temple,place
241,"[[Miller's Island, Weber County, Utah Territory|Millers Island]]","Miller's Island, Weber County, Utah Territory",Millers Island,place
253,"[[Aphek Woodruff, b. 1778|Woodruff]]","Aphek Woodruff, b. 1778",Woodruff,place
285,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
315,"[[John Taylor, b. 1808|J Taylor]]","John Taylor, b. 1808",J Taylor,place
328,"[[John King, b. 1834|John King]]","John King, b. 1834",John King,place
348,"[[St. Louis, St. Louis County, Missouri|St Louis]]","St. Louis, St. Louis County, Missouri",St Louis,place
349,"[[Charlestown, Jefferson County, Virginia|Charlestown V.a.]]","Charlestown, Jefferson County, Virginia",Charlestown V.a.,place
355,"[[John Taylor, b. 1808|John Taylor]] was Mouth. we Administered to [[George Albert Smith|G. A. Smith]]","John Taylor, b. 1808",John Taylor]] was Mouth. we Administered to [[George Albert Smi,place
357,"[[John Taylor, b. 1808|J Taylor]]","John Taylor, b. 1808",J Taylor,place
366,"[[Ruby Valley, Nevada Territory|Ruby valley]]","Ruby Valley, Nevada Territory",Ruby valley,place
369,"[[New Orleans, Louisiana|New Orleans]]","New Orleans, Louisiana",New Orleans,place
382,"[[Weber County, Utah Territory|Webber]]","Weber County, Utah Territory",Webber,place
383,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]] took [[Sarah Brown Woodruff|Sarah]] & her children also [[Wilford Woodruff Jr.|Wilford]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman]] took [[Sarah Brown Woodru,place
384,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
