date,event
27 March 1836,Kirtland Temple Dedicated
26 April 1838,Name of Church Established
27 June 1844,Joseph Smith Martyred
08 August 1844,Brigham Young Sustained
06 February 1846,Saints Begin to Leave Nauvoo
24 July 1847,Brigham Young Arrives in Salt Lake Valley
20 May 1848,Crickets Devastate Crops
29 August 1852,Plural Marriage Announced
05 May 1855,Endowment House Dedicated
15 October 1856,Handcart Companies Rescued
11 September 1857,Mountain Meadows Massacre
06 October 1867,Salt Lake Tabernacle Completed
